,hotel_name,nationality,rating,review_text,sentiment_score,sentiment
0,Villa Pura Vida,Poland,10.0,everything perfect quite cozy place relax,0.7823,Positive
1,Villa Pura Vida,Belgium,9.0,friendly host perfect breakfast,0.7845,Positive
2,Hydro Palace Apartment,United Kingdom,10.0,week beach winter location apartment quiet well spotless clean,0.5859,Positive
3,Villa Pura Vida,Netherlands,10.0,stay house bliss luxury house sheer touch beauty wrap luxury kindness care make remarkable stay,0.9538,Positive
4,Hydro Palace Apartment,South Africa,9.2,building musty smell hallway despite built apartment good bearable hot water go every cold water come hot water come back checked thing like apartment view great apartment furnish modern style everything may need apartment clean free secure parking outside building parking lot downstairs garage always promptly sent via book messenger,0.9117,Positive
5,Villa Pura Vida,United Kingdom,10.0,nothing beautiful home great comfortable bed hostess enough gracious welcome even give husband lift conference thank generous hospitality would stay,0.8504,Positive
6,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Poland,10.0,many send owner fill everything great perfect location perfect clean everything need inside best best bath,0.9738,Positive
7,Gite Namaste,Netherlands,8.3,spacious enough lot bath electric car free charge,0.5106,Positive
9,Villa Pura Vida,United States,10.0,nothing place perfect excellent place stay highly recommend stay extremely helpful one best stayed good,0.8049,Positive
10,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,10.0,romantic around corner train station nice different set cute excellent connection available,0.9042,Positive
11,Gite Namaste,United Kingdom,10.0,nothing everything great whole property less price hotel,-0.5096,Negative
12,Hotel Saint Sauveur by WP Hotels,United Kingdom,7.5,would like coffee tea available bath bit high get otherwise good comfortable room,0.8271,Positive
13,B&B Hof Beygaert,Netherlands,8.0,room bit dull wall plant would make enjoyable unlike equip kitchen,0.0516,Neutral
14,Novotel Gent Centrum,Sweden,9.0,breakfast well level,0.2732,Neutral
15,B&B Place Jourdan,Austria,10.0,next place various dinner even family super nice helpful breakfast prepared advance everything super covid safe,0.9531,Positive
16,Villa Pura Vida,United Kingdom,9.6,nothing peacefulness spectacular kindness nothing much trouble,-0.4168,Neutral
17,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Netherlands,10.0,nothing perfect near central station another,-0.4585,Neutral
18,Gite Namaste,United Kingdom,10.0,nothing lovely area lovely house lovely rural area north east beautiful must see drive along river south east best experience thank much warm welcome lovely stay would love visit,0.8132,Positive
19,Hotel Saint Sauveur by WP Hotels,Belgium,9.0,floor everything,0.0,Neutral
20,B&B Hof Beygaert,United States,9.0,nothing breakfast super enough super friendly host flexible also good easily,0.4781,Neutral
21,Novotel Gent Centrum,Germany,8.0,little location perfect staff helpful recommend parking parking clean reasonably price fit well minute walk,0.9328,Positive
22,B&B Place Jourdan,Estonia,10.0,negative like much,-0.296,Neutral
23,Villa Pura Vida,United Kingdom,10.0,nothing dislike first moment felt completely calm duck pond add tranquil set beautiful clean property extremely comfortable bed elegant tea coffee plus available wonderful almond die could enough definitely,0.964,Positive
24,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,Belgium,10.0,amaze beautiful place would definitely recommend place,0.9118,Positive
26,Hotel Saint Sauveur by WP Hotels,Belgium,9.2,excellent breakfast professional staff ready help get prefer already go,0.836,Positive
27,B&B Hof Beygaert,Netherlands,10.0,private parking area pretty much brand new building modern cozy warm tastefully decorate friendly owner,0.8074,Positive
28,Novotel Gent Centrum,Belgium,8.0,soft person related kind staff good location explore city,0.743,Positive
29,B&B Place Jourdan,Ireland,10.0,nothing lovely welcome really clean real attention detail lovely breakfast thank,-0.4821,Neutral
30,Villa Pura Vida,Belgium,10.0,especially extra large suite luxurious fresh soft breakfast outstanding coffee fresh fruit bread especially kind character hospitality,0.9061,Positive
31,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,France,10.0,nothing say close gare nice getaway,0.4215,Neutral
32,Marivaux Hotel,Singapore,10.0,staff friendly helpful thank,0.8176,Positive
33,Hotel Astoria Gent,Netherlands,9.0,setup bit strange double door separation bathroom ideal equipment great style great bed lot space bathroom free parking right snack bar free water breakfast area pretty especially weather terrace space breakfast good staff friendly,0.9792,Positive
34,Hotel Saint Sauveur by WP Hotels,United Kingdom,7.9,excellent breakfast,0.5719,Positive
35,B&B Hof Beygaert,Peru,9.6,new cozy owner nice person breakfast amaze good value,0.891,Positive
36,Novotel Gent Centrum,Mexico,7.0,need clean excellent location staff friendly,0.8625,Positive
37,B&B Place Jourdan,Switzerland,8.0,small table really appropriate work friendly host quiet night,0.5367,Positive
38,Villa Pura Vida,Switzerland,10.0,great private atmosphere good experience nature city perfectly united,0.9325,Positive
39,AppartHotel Belle Vue,Latvia,7.1,broken shower satisfactory apart bathroom also nice restaurant probably place town eat even staff friendly,0.6597,Positive
40,Le Studio de Christine,Belgium,9.0,good location cosy spacious kind hostess,0.743,Positive
41,Love Nest Versailles - Unique Louis XIV decoration - Calm location right IN city center,New Caledonia,10.0,people nice wonderful cleanness really easy find,0.8655,Positive
42,Marivaux Hotel,United Kingdom,8.0,onto deep light well little daylight take long time draw hot water room comfortable well hotel quiet possibly external close city,0.7579,Positive
43,Hotel Astoria Gent,Croatia,8.0,dark old wooden small cute bathroom whirlpool nice polite staff,0.7003,Positive
44,Guest house Heysel Laeken Atomium,Chile,7.5,bad clean,-0.2023,Neutral
45,la heid d'ehan,Belgium,8.0,bed fabulous uncomfortable difficult get uncomfortable sleep roll middle soft like nice bit smelly dry properly shower difficult use modern one lot really necessary get get bunch cold water head plus cold water body side feel horrible shower head almost useless bit water come breakfast next host call could hardly talk ask normal way could pay attention one night location beautiful room,-0.4601,Neutral
