hotel_name,rating,review_text,sentiment_score
""" Chimay B & B """,8.507142857142858,excellent location stylish tasty breakfast friendly friend real door bathroom would perfect much privacy cute friendly owner great breakfast free parking lot outside everything super clean comfortable cozy comfortable place amaze location super friendly welcome would love go free roam breakfast well friendly helpful close easy parking bed toilet shower charm friendly location amaze romantic heart super clean decorate unique tasteful way staff friendly breakfast home make best jam wish book longer stay many kind great breakfast nothing great personal welcome delicious personally breakfast homemade pain perdu convenient location along beautifully authenticity building total gem right across church cosy real feel excellent breakfast wide cozy nice breakfast wonderful lovely individual really comfortable friendly helpful owner great location great breakfast small bed great location nice look nice friendly rude place drop luggage check late one day due late check hour able visit abbey purpose trip location property standard come expect continent consider cost night stayed far superior less money however proprietor pleasant breakfast could substantial central location,0.585
"""En Aqualye"" chambre privative chez l'habitant",8.333333333333334,super bed little short length people confirm perfect bathroom perfect clean modern available beautiful great accessible host price quality probably one best region garage kind small uncomfortable move around space put stuff host kind helpful give excellent advice go see bathroom look modern new everything need apparent care effort put place like tea coffee,0.5
"""Ter Ename n°2""",9.733333333333333,nothing clean modern everything need cycling holiday good secure bike storage fully kitchen nice comfy brilliant property lovely host little location quiet area limited eat couple good min walk drive easy pretty walk along river plenty space could sleep easily clean practical comfortable layout large kitchen din lounge area could want utility nice touch bottle local beer wait u parking fine round corner main street friendly helpful,0.4275
'S Hertogenmolens Hotel,8.3375,breakfast fine staff top location via book exchange conversion much account extra lovely location staff excellent staff give u separate couple despite fact empty great excellent opportunity get rating location unique quiet environment free parking historical building river breakfast nice lot choice good illy coffee access car park tricky anything big would impossible anything big transit style minibus cross narrow bridge also end however make aware surprise also fan entry lovely location interior kept rustic feel old building use spacious comfortable big bath huge bonus weary traveller breakfast light bedroom stayed many time like property location different feel small bathroom nice location building historical value acoustic isolation could well case noisy friendly staff nice environment clean good breakfast design service simplicity difficult find due road seem plague property old water mill new built new part adjoin bathroom old part step quirky certain charm nice view river clean comfortable free parking short walk town wi fi signal poor place really extraordinary town quiet lot go shut om bit like b room nice convert old water mill nice location stayed several time good food adjoin restaurant enough sleep neighbor talk due voice transfer location staff treatment shower bath style breakfast bar open longer stay regularly every time great clean tidy quiet comfy good breakfast else could anyone ask beautiful spot center town former breakfast good good slept well bad good place well wooden receive lot noise adjacent corridor also heating quite without ear would able get good night sleep also fairly cold friendly staff nice location beautiful kettle bedroom good mix go bread historic property beautiful set stream noise come area location excellent visit rock festival everything nice staff friendly hotel perfect basic price cost although book bit last minute hopefully reason inflate price great location within walk distance station,0.3435
't Eenvoud,9.5,excellent location quiet street easy parking great brand new high quality everything necessary highly recommend whole place exceptionally clean exceptionally clean comfortable apartment nicely situate quiet sure book next year,0.574
't Gulpdal Hotel Voeren-Teuven,8.86,spacious separate bathroom sleep quiet clean great value money friendly breakfast good nothing keep good work clean necessary excellent breakfast quite good many signal reception desk first apartment well something owner change two although book obvious one two single assume would fold couch instead single quiet location small around clean neat small distance eat delicious silence friendly people correct,0.484
"1,2,trois...Le Roi",9.666666666666666,comfy cozy home great host everything perfect house extremely big one imagine kitchen well connect main living convivial space comfortable big hostess extremely nice available early check morning felt like home stay amaze property home home well excellent host spacious comfortable well clean friendly welcome sabine communication stay smooth parking garage close house come handy location station city good lot could issue house pretty steep often problem u keep mind walk house spacious luxury homely time top floor self apartment bathroom toilet nice main bathroom bath sabine correct friendly host give u two separate front door parking place actually garage box min walk away safe secure big big car check sabine first possible park short time front house min free parking everything perfect apartment beautiful nice taste decoration specially live water every afternoon kitchen perfect cook many time many people space grate comfortable best sleep stay owner give u extra key free parking space together visit buy breakfast bakery think super host code code ever see note general beautiful apartment nice touch quiet neighborhood easy find far center minute walk look many historical many parking easy find safe small cost per day since car fit free parking space miss sabine give u gent destination everyone must check roi apartment place stay excellent enough left something top floor really give thought whether worth go retrieve mobility knee property might work well beautiful traditional home clean well kept minute walk centrum shopping wonderful base explore surround area less hour away parking minute walk secure garage gate enclosure washer host friendly dislike something might need aware property relatively steep narrow many area like property fabulous extremely good value money three u spent day drinking wonderful beer excellent base day also walk city well proximity nearby beer pub bar house great space parking nearby lockable garage real bonus street parking challenge sabine perfect host communication arrival end stay excellent highly everything stay really exceptional upon arrival sabine welcome friendly take time show u around house perfect clean tidy well exactly like even kind enough put welcome pack food u get destination best route take cannot recommend highly enough perfect visit visit next year issue lead upstairs extremely slippery especially wear last floor even narrow slick need careful walk property clean decent area able park street pay per day parking property shopping perfect way eat still get exercise end day owner property extremely friendly great pick would say ground floor property well clean also hade everything would need linen full kitchen secure parking helpful well nothing everything,0.40599999999999997
130sqm appartment with 20sqm terras and free parking,9.666666666666666,spacious house comfortable nicely everything could wish group also good value comfortable clean nice place see get beautiful apartment easy central location worth stay,0.709
A la ferme du Pere Eugene,8.942857142857143,small thing stayed let lot light helpful kind location perfect great walk village basic great baker cosy excellent stay la ferme spacious comfortable access free coffee tea living also breakfast good excellent bread homemade jam yoghurt would stay address show outside town lady inside find location would help address list add suburb listing would help lady inside find exact place forest part outside town area rural set comfortable dinner breakfast large generous bedroom bathroom friendly people comfortable outside else could need highly odd kept slide bed constant would great beyond single together staff warm welcome large comfortable give great food covid pandemic heavy perfect spot stay hook shower head low ceiling spacious clean nice view excellent breakfast owner helpful go breakfast bread bit soft staff friendly welcome breakfast nice,0.46699999999999997
ABC Hotel,9.708333333333334,found bed entirely suitable high bathroom also separate space location excellent right near train station beach breakfast good staff kind attentive clean everyday cleaning service excellent also lot little receive every day poem water desert fruit shower without door design work maybe space bed wall short staff amaze friendly best breakfast exceed parking neither nearby great small modern comfortable welcome host amaze breakfast generous variety local nice common nice include fruit fresh available parking could problem always found space close reserve parking freshly hotel lead owner feel everything do love property room size nice design furniture felt bed soft thats individual location reach seaside breakfast remarkable variety high quality great cheap definitely worth money nothing everything super excellent customer service staff extremely helpful nothing small feel b found positive say number owner dynamic communicative time spend every guest pay attention make stay unforgettable arrival get rise fruit welcome drink cava next day home make disposal coffee tea also tea coffee lobby include rate breakfast really amaze variety bread omelette type egg fell love home make bread cava fresh orange juice hot also breakfast nice experience regret definitely go back recommend everybody nothing would go back place take time excellent breakfast great place place small cozy extremely clean modern bed comfortable spacious enough shower wonderful breakfast excellent breakfast impressive comfy decent coffee machine location excellent away car affordable safe car city nothing everything amaze well modern big breakfast delicious fully lady take time explain u food breakfast include get welcome free well nothing quiet location near owner staff excellent keen pas knowledge area everything problem staff service quality quality breakfast peaceful feel breakfast amaze super friendly staff go way extra welcome parking secure book get street parking luckily able remove everything car secure parking one book beautiful walk beach town breakfast superb freshly orange juice delicious staff friendly helpful street towards center quite number passing front day also even even though pet friendly somehow radius one tiny little green spot around probably dog could job obviously nothing feel like share pet wat also like quietness explicitly quite wife light sleep unfortunately get floor around u except u breakfast reception u moment first day around night people u move around heavily permanently walk barefoot work marathon something sarcastic marathon course manage rest single minute long journey neither get sleep first night next night perfectly fine though last least must admit one staff quite harsh mainly breakfast example one couple german couple really happy way staff member staff uninterested even though negative experience found quite disturb watch hear location hotel perfect short minute walk beach town center make easy enjoy good weather also spacious modern clean comfortable case pet friendly parking available nearby car park street around cost though finally breakfast really outstanding keen say might best breakfast ever concept excellent breakfast super comfortable excellent service everything fantastic level finish attention detail amaze best hotel stayed long time stay lot clean charm welcome host amaze breakfast nothing stayed one night th visit location really good station train journey really lovely extremely welcome staff stylish modern seriously comfy delicious breakfast selection artisan bread incredible would like come back warmer visit beach thank make stay enjoyable,0.34650000000000003
ATW Apartments,8.045833333333333,invoice miss left without invoice cause nobody reception noise area apartment clean kitchen fully available also roomy enough space u everything though host speak try best make u understand friendly upon arrival good certainly awesome location yes strip club next apartment really experience except bit music night good apartment enjoy city trip small budget late night noisy outside face central construction ongoing outside apartment quite noisy due poor sound isolation bar snooker pool bar people bit noisy night early morning although check apartment ready come back need call number front door open door bell probably broken bathroom shower bit small otherwise everything kitchen good induction stove oven well two one common like studio bed separate good place centrally near train station posh convenient staff speak really hard communicate maybe problem speak dutch work host get work either travel car hard find parking lot option parking house street away bathroom small sit toilet pot brush teeth time location middle city next central station zoo apartment spacious two big king size need restoration clean nice location friendly staff area desirable noisy due road work cheap place clean although linen may everyone taste weekend stay include night bit noisy may put people however spoil trip close proximity central station early check host oblige willingly host fantastic stay thank pleasant stay get nice family stay host helpful accommodate even speak staff dont speak location safe furniture flimsy plug teapot shut power circuit entire apartment never receive replacement pot boil water also afraid plug anything power location great close shopping area central station little far minute walk host responsive even though speak location perfect base central walk near main station base apartment event minute walk balcony nice add feature location would really bedside location excellent short walk railway station good size apartment friendly helpful host thanks central location close central station walk square historic property till reception give u one cleanness location club something beside apartment open night level could still hear thump bass apartment night location good close train station underground parking underground parking train station every step whoever living great location near train tramp stove work location size apartment location perfect apartment clean nice suppose pay upon arrival full amount week actual charge book told payment list incorrect would spoke attempt communicate little knew bit tricky next strip club quite noisy bit mosquito problem meant get really badly bitten first night close remainder stay make hot everything list include like family u could hear around constantly good size apartment centrally lady checked u friendly make sure everything even go far show u work go get fresh remote dead check easy leave key box go little bit noisy around apartment spacious easy access smooth check clean friendly staff,0.21
